participantId,sentenceIndex,originalText,inputText,inputTime,msd,cer
2331033,1,なかの,なくななかの,21.316,3,0.5
2331033,2,ひなた,ひなた,13.916,0,0
2331015,1,なかの,なかの,10.066,0,0
2331015,2,ひなた,ひなた,14.425,0,0
2331084,1,なかの,なかの,7.063,0,0
2331084,2,ひなた,ひねなた,17.869,1,0.25
2331068,1,なかの,なかの,8.281,0,0
2331068,2,ひなた,ひなた,9.925,0,0
2331036,1,なかの,,0.358,3,0
2331036,2,ひなた,,0.133,3,0
2331703,1,なかの,なかなの,10.759,1,0.25
2331703,2,ひなた,ひなた,39.709,0,0
2331164,1,なかの,なかの,8.786,0,0
2331164,2,ひなた,ひなた,10.098,0,0
TA-1,1,なかの,なかの,10.372,0,0
TA-1,2,ひなた,ひなた,13.425,0,0
2331097,1,なかの,なかの,8.2,0,0
2331097,2,ひなた,ひなた,9.28,0,0
2331096,1,なかの,なかの,6.087,0,0
2331096,2,ひなた,ひななた,6.96,1,0.25
