測定者,目標文字列,入力された文章,編集距離,CER(％),入力時間（秒）,CPS（文字/秒）
2331033,なかの,なくななかの,3,50.0,19.3,0.16
2331033,ひなた,ひなた,0,0.0,13.9,0.22
2331015,なかの,なかの,0,0.0,10.1,0.30
2331015,ひなた,ひなた,0,0.0,14.4,0.21
2331084,なかの,なかの,0,0.0,7.1,0.42
2331084,ひなた,ひねなた,1,25.0,17.9,0.22
2331068,なかの,なかの,0,0.0,8.3,0.36
2331068,ひなた,ひなた,0,0.0,9.9,0.30
2331036,なかの,なかの,0,0.0,8.8,0.34
2331036,ひなた,ひなた,0,0.0,12.3,0.24
2331703,なかの,なかなの,1,25.0,10.8,0.28
2331703,ひなた,ひなた,0,0.0,11.3,0.27
2331164,なかの,なかの,0,0.0,8.8,0.34
2331164,ひなた,ひなた,0,0.0,10.1,0.30
TA-1,なかの,なかの,0,0.0,10.4,0.29
TA-1,ひなた,ひなた,0,0.0,13.4,0.22
2331097,なかの,なかの,0,0.0,8.2,0.37
2331097,ひなた,ひなた,0,0.0,9.3,0.32
2331096,なかの,なかの,0,0.0,6.1,0.49
2331096,ひなた,ひななた,1,25.0,7.0,0.43
